# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y01 //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y01
DrawOnly=/STAR_2008_S7869363/d02-x01-y01 //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y01
Title=$\pi^-\quad p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y01
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	2.020000e+00	6.000000e-02	6.000000e-02
2.500000e-01	3.000000e-01	1.520000e+00	3.000000e-02	3.000000e-02
3.000000e-01	3.500000e-01	1.130000e+00	2.000000e-02	2.000000e-02
3.500000e-01	4.000000e-01	8.440000e-01	9.000000e-03	9.000000e-03
4.000000e-01	4.500000e-01	6.350000e-01	7.000000e-03	7.000000e-03
4.500000e-01	5.000000e-01	4.690000e-01	5.000000e-03	5.000000e-03
5.000000e-01	5.500000e-01	3.540000e-01	4.000000e-03	4.000000e-03
5.500000e-01	6.000000e-01	2.670000e-01	3.000000e-03	3.000000e-03
6.000000e-01	6.500000e-01	2.020000e-01	4.000000e-03	4.000000e-03
6.500000e-01	7.000000e-01	1.530000e-01	3.000000e-03	3.000000e-03
7.000000e-01	7.500000e-01	1.160000e-01	3.000000e-03	3.000000e-03
7.500000e-01	8.000000e-01	8.650000e-02	3.000000e-03	3.000000e-03
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y01
IsRef=1
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y01
ScaledBy=2.16862113920887282e-06
Title=LHC_MB_all-S125442
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.819945e+00	1.463584e-02	1.463584e-02
2.500000e-01	3.000000e-01	1.466973e+00	1.196548e-02	1.196548e-02
3.000000e-01	3.500000e-01	1.123354e+00	9.553213e-03	9.553213e-03
3.500000e-01	4.000000e-01	8.663528e-01	7.811251e-03	7.811251e-03
4.000000e-01	4.500000e-01	6.416502e-01	6.362367e-03	6.362367e-03
4.500000e-01	5.000000e-01	4.885864e-01	5.254835e-03	5.254835e-03
5.000000e-01	5.500000e-01	3.639496e-01	4.335147e-03	4.335147e-03
5.500000e-01	6.000000e-01	2.659032e-01	3.483382e-03	3.483382e-03
6.000000e-01	6.500000e-01	1.933479e-01	2.886080e-03	2.886080e-03
6.500000e-01	7.000000e-01	1.406983e-01	2.384248e-03	2.384248e-03
7.000000e-01	7.500000e-01	1.015701e-01	1.925813e-03	1.925813e-03
7.500000e-01	8.000000e-01	7.560640e-02	1.633524e-03	1.633524e-03
# END HISTO1D

