# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y02 //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y02
DrawOnly=/STAR_2008_S7869363/d02-x01-y02 //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y02
Title=$\pi^+\quad p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y02
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	2.070000e+00	6.000000e-02	6.000000e-02
2.500000e-01	3.000000e-01	1.540000e+00	3.000000e-02	3.000000e-02
3.000000e-01	3.500000e-01	1.140000e+00	2.000000e-02	2.000000e-02
3.500000e-01	4.000000e-01	8.570000e-01	9.000000e-03	9.000000e-03
4.000000e-01	4.500000e-01	6.380000e-01	7.000000e-03	7.000000e-03
4.500000e-01	5.000000e-01	4.760000e-01	5.000000e-03	5.000000e-03
5.000000e-01	5.500000e-01	3.590000e-01	4.000000e-03	4.000000e-03
5.500000e-01	6.000000e-01	2.730000e-01	3.000000e-03	3.000000e-03
6.000000e-01	6.500000e-01	2.070000e-01	4.000000e-03	4.000000e-03
6.500000e-01	7.000000e-01	1.550000e-01	3.000000e-03	3.000000e-03
7.000000e-01	7.500000e-01	1.160000e-01	3.000000e-03	3.000000e-03
7.500000e-01	8.000000e-01	8.950000e-02	3.100000e-03	3.100000e-03
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y02
IsRef=1
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y02
ScaledBy=2.18535873441844136e-06
Title=LHC_MB_all-S125442
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.845408e+00	1.492698e-02	1.492698e-02
2.500000e-01	3.000000e-01	1.490160e+00	1.207786e-02	1.207786e-02
3.000000e-01	3.500000e-01	1.146798e+00	9.725862e-03	9.725862e-03
3.500000e-01	4.000000e-01	8.767086e-01	7.896825e-03	7.896825e-03
4.000000e-01	4.500000e-01	6.633766e-01	6.508634e-03	6.508634e-03
4.500000e-01	5.000000e-01	4.906972e-01	5.278256e-03	5.278256e-03
5.000000e-01	5.500000e-01	3.681626e-01	4.399114e-03	4.399114e-03
5.500000e-01	6.000000e-01	2.700888e-01	3.548294e-03	3.548294e-03
6.000000e-01	6.500000e-01	1.985196e-01	2.927412e-03	2.927412e-03
6.500000e-01	7.000000e-01	1.403834e-01	2.399357e-03	2.399357e-03
7.000000e-01	7.500000e-01	1.031518e-01	1.960827e-03	1.960827e-03
7.500000e-01	8.000000e-01	7.343392e-02	1.579986e-03	1.579986e-03
# END HISTO1D

