# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y03 //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y03
DrawOnly=/STAR_2008_S7869363/d02-x01-y03 //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y03
Title=$K^-\quad p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y03
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.430000e-01	1.100000e-02	1.100000e-02
2.500000e-01	3.000000e-01	1.260000e-01	5.000000e-03	5.000000e-03
3.000000e-01	3.500000e-01	1.080000e-01	2.000000e-03	2.000000e-03
3.500000e-01	4.000000e-01	8.770000e-02	2.400000e-03	2.400000e-03
4.000000e-01	4.500000e-01	7.340000e-02	2.600000e-03	2.600000e-03
4.500000e-01	5.000000e-01	6.170000e-02	6.300000e-03	6.300000e-03
5.000000e-01	5.500000e-01	4.870000e-02	5.000000e-03	5.000000e-03
5.500000e-01	6.000000e-01	4.110000e-02	4.200000e-03	4.200000e-03
6.000000e-01	6.500000e-01	3.700000e-02	2.800000e-03	2.800000e-03
6.500000e-01	7.000000e-01	2.860000e-02	2.200000e-03	2.200000e-03
7.000000e-01	7.500000e-01	2.420000e-02	2.700000e-03	2.700000e-03
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y03
IsRef=1
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y03
ScaledBy=2.95093052028905778e-06
Title=LHC_MB_all-S125442
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.382907e-01	4.667251e-03	4.667251e-03
2.500000e-01	3.000000e-01	1.292568e-01	4.065988e-03	4.065988e-03
3.000000e-01	3.500000e-01	1.095347e-01	3.535791e-03	3.535791e-03
3.500000e-01	4.000000e-01	9.037088e-02	3.017848e-03	3.017848e-03
4.000000e-01	4.500000e-01	6.838200e-02	2.410851e-03	2.410851e-03
4.500000e-01	5.000000e-01	5.474640e-02	2.078705e-03	2.078705e-03
5.000000e-01	5.500000e-01	4.411134e-02	1.788136e-03	1.788136e-03
5.500000e-01	6.000000e-01	3.119750e-02	1.386113e-03	1.386113e-03
6.000000e-01	6.500000e-01	2.427304e-02	1.174082e-03	1.174082e-03
6.500000e-01	7.000000e-01	2.030458e-02	1.054063e-03	1.054063e-03
7.000000e-01	7.500000e-01	1.409380e-02	8.302963e-04	8.302963e-04
# END HISTO1D

