# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y04 //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y04
DrawOnly=/STAR_2008_S7869363/d02-x01-y04 //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y04
Title=$K^+\quad p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y04
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y04
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y04
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.520000e-01	1.100000e-02	1.100000e-02
2.500000e-01	3.000000e-01	1.300000e-01	5.000000e-03	5.000000e-03
3.000000e-01	3.500000e-01	1.080000e-01	2.000000e-03	2.000000e-03
3.500000e-01	4.000000e-01	9.160000e-02	2.500000e-03	2.500000e-03
4.000000e-01	4.500000e-01	7.470000e-02	2.700000e-03	2.700000e-03
4.500000e-01	5.000000e-01	6.260000e-02	6.400000e-03	6.400000e-03
5.000000e-01	5.500000e-01	5.260000e-02	5.400000e-03	5.400000e-03
5.500000e-01	6.000000e-01	4.410000e-02	4.500000e-03	4.500000e-03
6.000000e-01	6.500000e-01	3.810000e-02	2.800000e-03	2.800000e-03
6.500000e-01	7.000000e-01	3.060000e-02	2.400000e-03	2.400000e-03
7.000000e-01	7.500000e-01	2.490000e-02	2.800000e-03	2.800000e-03
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y04
IsRef=1
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y04
ScaledBy=3.19128723893264841e-06
Title=LHC_MB_all-S125442
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.495020e-01	5.168228e-03	5.168228e-03
2.500000e-01	3.000000e-01	1.284014e-01	4.325792e-03	4.325792e-03
3.000000e-01	3.500000e-01	1.120866e-01	3.713226e-03	3.713226e-03
3.500000e-01	4.000000e-01	8.856488e-02	3.026852e-03	3.026852e-03
4.000000e-01	4.500000e-01	7.355632e-02	2.598567e-03	2.598567e-03
4.500000e-01	5.000000e-01	5.631304e-02	2.134871e-03	2.134871e-03
5.000000e-01	5.500000e-01	4.462570e-02	1.769988e-03	1.769988e-03
5.500000e-01	6.000000e-01	3.460334e-02	1.564642e-03	1.564642e-03
6.000000e-01	6.500000e-01	2.667888e-02	1.325442e-03	1.325442e-03
6.500000e-01	7.000000e-01	2.002412e-02	1.075995e-03	1.075995e-03
7.000000e-01	7.500000e-01	1.430204e-02	8.941157e-04	8.941157e-04
# END HISTO1D

