# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y05 //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y05
DrawOnly=/STAR_2008_S7869363/d02-x01-y05 //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y05
Title=Antiproton $p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y05
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y05
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y05
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.500000e-01	4.000000e-01	5.540000e-02	1.300000e-03	1.300000e-03
4.000000e-01	4.500000e-01	4.810000e-02	1.100000e-03	1.100000e-03
4.500000e-01	5.000000e-01	4.250000e-02	1.000000e-03	1.000000e-03
5.000000e-01	5.500000e-01	3.770000e-02	9.000000e-04	9.000000e-04
5.500000e-01	6.000000e-01	3.380000e-02	8.000000e-04	8.000000e-04
6.000000e-01	6.500000e-01	2.780000e-02	7.000000e-04	7.000000e-04
6.500000e-01	7.000000e-01	2.490000e-02	6.000000e-04	6.000000e-04
7.000000e-01	7.500000e-01	2.030000e-02	6.000000e-04	6.000000e-04
7.500000e-01	8.000000e-01	1.750000e-02	6.000000e-04	6.000000e-04
8.000000e-01	8.500000e-01	1.520000e-02	5.000000e-04	5.000000e-04
8.500000e-01	9.000000e-01	1.270000e-02	4.000000e-04	4.000000e-04
9.000000e-01	9.500000e-01	1.050000e-02	4.000000e-04	4.000000e-04
9.500000e-01	1.000000e+00	8.950000e-03	3.400000e-04	3.400000e-04
1.000000e+00	1.050000e+00	7.360000e-03	3.400000e-04	3.400000e-04
1.050000e+00	1.100000e+00	6.590000e-03	3.200000e-04	3.200000e-04
1.100000e+00	1.150000e+00	5.210000e-03	2.900000e-04	2.900000e-04
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y05
IsRef=1
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y05
ScaledBy=2.79108734901835267e-06
Title=LHC_MB_all-S125442
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
3.500000e-01	4.000000e-01	4.006764e-02	1.954617e-03	1.954617e-03
4.000000e-01	4.500000e-01	3.048856e-02	1.514568e-03	1.514568e-03
4.500000e-01	5.000000e-01	2.799256e-02	1.395371e-03	1.395371e-03
5.000000e-01	5.500000e-01	2.286580e-02	1.193973e-03	1.193973e-03
5.500000e-01	6.000000e-01	1.926035e-02	1.094411e-03	1.094411e-03
6.000000e-01	6.500000e-01	1.618008e-02	9.703375e-04	9.703375e-04
6.500000e-01	7.000000e-01	1.396799e-02	8.673673e-04	8.673673e-04
7.000000e-01	7.500000e-01	1.060120e-02	7.107315e-04	7.107315e-04
7.500000e-01	8.000000e-01	7.894038e-03	5.997582e-04	5.997582e-04
8.000000e-01	8.500000e-01	5.380098e-03	4.713417e-04	4.713417e-04
8.500000e-01	9.000000e-01	5.259662e-03	4.376756e-04	4.376756e-04
9.000000e-01	9.500000e-01	4.588650e-03	4.087481e-04	4.087481e-04
9.500000e-01	1.000000e+00	3.720328e-03	3.776002e-04	3.776002e-04
1.000000e+00	1.050000e+00	2.902404e-03	3.028558e-04	3.028558e-04
1.050000e+00	1.100000e+00	2.520994e-03	2.904662e-04	2.904662e-04
1.100000e+00	1.150000e+00	1.619582e-03	2.329924e-04	2.329924e-04
# END HISTO1D

