# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y06 //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y06
DrawOnly=/STAR_2008_S7869363/d02-x01-y06 //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y06
Title=Proton $p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y06
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y06
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y06
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.500000e-01	5.000000e-01	5.070000e-02	2.500000e-03	2.500000e-03
5.000000e-01	5.500000e-01	4.690000e-02	1.900000e-03	1.900000e-03
5.500000e-01	6.000000e-01	4.080000e-02	1.400000e-03	1.400000e-03
6.000000e-01	6.500000e-01	3.420000e-02	1.000000e-03	1.000000e-03
6.500000e-01	7.000000e-01	2.870000e-02	7.000000e-04	7.000000e-04
7.000000e-01	7.500000e-01	2.410000e-02	7.000000e-04	7.000000e-04
7.500000e-01	8.000000e-01	2.130000e-02	6.000000e-04	6.000000e-04
8.000000e-01	8.500000e-01	1.820000e-02	5.000000e-04	5.000000e-04
8.500000e-01	9.000000e-01	1.540000e-02	5.000000e-04	5.000000e-04
9.000000e-01	9.500000e-01	1.310000e-02	4.000000e-04	4.000000e-04
9.500000e-01	1.000000e+00	1.110000e-02	4.000000e-04	4.000000e-04
1.000000e+00	1.050000e+00	9.780000e-03	4.000000e-04	4.000000e-04
1.050000e+00	1.100000e+00	8.560000e-03	3.700000e-04	3.700000e-04
1.100000e+00	1.150000e+00	7.380000e-03	3.800000e-04	3.800000e-04
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y06
IsRef=1
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Benchmark/rivet200/Herwig/LHC_MB_all-S125442.yoda/STAR_2008_S7869363/d02-x01-y06
ScaledBy=1.35719755214896124e-06
Title=LHC_MB_all-S125442
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
4.500000e-01	5.000000e-01	2.190088e-02	8.511980e-04	8.511980e-04
5.000000e-01	5.500000e-01	1.964742e-02	7.808452e-04	7.808452e-04
5.500000e-01	6.000000e-01	1.771495e-02	7.068652e-04	7.068652e-04
6.000000e-01	6.500000e-01	1.472166e-02	6.241454e-04	6.241454e-04
6.500000e-01	7.000000e-01	1.302575e-02	5.607002e-04	5.607002e-04
7.000000e-01	7.500000e-01	1.172161e-02	5.234255e-04	5.234255e-04
7.500000e-01	8.000000e-01	9.924538e-03	4.750652e-04	4.750652e-04
8.000000e-01	8.500000e-01	9.580356e-03	4.439563e-04	4.439563e-04
8.500000e-01	9.000000e-01	7.123708e-03	3.611091e-04	3.611091e-04
9.000000e-01	9.500000e-01	6.483228e-03	3.365985e-04	3.365985e-04
9.500000e-01	1.000000e+00	6.165186e-03	3.198625e-04	3.198625e-04
1.000000e+00	1.050000e+00	5.638664e-03	3.168408e-04	3.168408e-04
1.050000e+00	1.100000e+00	5.015230e-03	2.821887e-04	2.821887e-04
1.100000e+00	1.150000e+00	4.792666e-03	2.800180e-04	2.800180e-04
# END HISTO1D

