# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y01 //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y01
DrawOnly=/STAR_2008_S7869363/d02-x01-y01 //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y01
Title=$\pi^-\quad p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y01
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	2.020000e+00	6.000000e-02	6.000000e-02
2.500000e-01	3.000000e-01	1.520000e+00	3.000000e-02	3.000000e-02
3.000000e-01	3.500000e-01	1.130000e+00	2.000000e-02	2.000000e-02
3.500000e-01	4.000000e-01	8.440000e-01	9.000000e-03	9.000000e-03
4.000000e-01	4.500000e-01	6.350000e-01	7.000000e-03	7.000000e-03
4.500000e-01	5.000000e-01	4.690000e-01	5.000000e-03	5.000000e-03
5.000000e-01	5.500000e-01	3.540000e-01	4.000000e-03	4.000000e-03
5.500000e-01	6.000000e-01	2.670000e-01	3.000000e-03	3.000000e-03
6.000000e-01	6.500000e-01	2.020000e-01	4.000000e-03	4.000000e-03
6.500000e-01	7.000000e-01	1.530000e-01	3.000000e-03	3.000000e-03
7.000000e-01	7.500000e-01	1.160000e-01	3.000000e-03	3.000000e-03
7.500000e-01	8.000000e-01	8.650000e-02	3.000000e-03	3.000000e-03
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y01
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y01
ScaledBy=1.31630980326992154e-06
Title=PY_Miro
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.609788e+00	1.138643e-02	1.138643e-02
2.500000e-01	3.000000e-01	1.324956e+00	9.329161e-03	9.329161e-03
3.000000e-01	3.500000e-01	1.046160e+00	7.625557e-03	7.625557e-03
3.500000e-01	4.000000e-01	8.407564e-01	6.363813e-03	6.363813e-03
4.000000e-01	4.500000e-01	6.644112e-01	5.313633e-03	5.313633e-03
4.500000e-01	5.000000e-01	5.121378e-01	4.409054e-03	4.409054e-03
5.000000e-01	5.500000e-01	4.024818e-01	3.723362e-03	3.723362e-03
5.500000e-01	6.000000e-01	3.143928e-01	3.142057e-03	3.142057e-03
6.000000e-01	6.500000e-01	2.435572e-01	2.654077e-03	2.654077e-03
6.500000e-01	7.000000e-01	1.861380e-01	2.237070e-03	2.237070e-03
7.000000e-01	7.500000e-01	1.435386e-01	1.895359e-03	1.895359e-03
7.500000e-01	8.000000e-01	1.087607e-01	1.599460e-03	1.599460e-03
# END HISTO1D

