# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y02 //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y02
DrawOnly=/STAR_2008_S7869363/d02-x01-y02 //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y02
Title=$\pi^+\quad p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y02
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	2.070000e+00	6.000000e-02	6.000000e-02
2.500000e-01	3.000000e-01	1.540000e+00	3.000000e-02	3.000000e-02
3.000000e-01	3.500000e-01	1.140000e+00	2.000000e-02	2.000000e-02
3.500000e-01	4.000000e-01	8.570000e-01	9.000000e-03	9.000000e-03
4.000000e-01	4.500000e-01	6.380000e-01	7.000000e-03	7.000000e-03
4.500000e-01	5.000000e-01	4.760000e-01	5.000000e-03	5.000000e-03
5.000000e-01	5.500000e-01	3.590000e-01	4.000000e-03	4.000000e-03
5.500000e-01	6.000000e-01	2.730000e-01	3.000000e-03	3.000000e-03
6.000000e-01	6.500000e-01	2.070000e-01	4.000000e-03	4.000000e-03
6.500000e-01	7.000000e-01	1.550000e-01	3.000000e-03	3.000000e-03
7.000000e-01	7.500000e-01	1.160000e-01	3.000000e-03	3.000000e-03
7.500000e-01	8.000000e-01	8.950000e-02	3.100000e-03	3.100000e-03
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y02
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y02
ScaledBy=1.32032689100016593e-06
Title=PY_Miro
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.626628e+00	1.145111e-02	1.145111e-02
2.500000e-01	3.000000e-01	1.334544e+00	9.369506e-03	9.369506e-03
3.000000e-01	3.500000e-01	1.066493e+00	7.713873e-03	7.713873e-03
3.500000e-01	4.000000e-01	8.581860e-01	6.441537e-03	6.441537e-03
4.000000e-01	4.500000e-01	6.738108e-01	5.354217e-03	5.354217e-03
4.500000e-01	5.000000e-01	5.199700e-01	4.451263e-03	4.451263e-03
5.000000e-01	5.500000e-01	4.134814e-01	3.776188e-03	3.776188e-03
5.500000e-01	6.000000e-01	3.242324e-01	3.196168e-03	3.196168e-03
6.000000e-01	6.500000e-01	2.464410e-01	2.670765e-03	2.670765e-03
6.500000e-01	7.000000e-01	1.901546e-01	2.259136e-03	2.259136e-03
7.000000e-01	7.500000e-01	1.442000e-01	1.898894e-03	1.898894e-03
7.500000e-01	8.000000e-01	1.089151e-01	1.600597e-03	1.600597e-03
# END HISTO1D

