# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y03 //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y03
DrawOnly=/STAR_2008_S7869363/d02-x01-y03 //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y03
Title=$K^-\quad p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y03
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.430000e-01	1.100000e-02	1.100000e-02
2.500000e-01	3.000000e-01	1.260000e-01	5.000000e-03	5.000000e-03
3.000000e-01	3.500000e-01	1.080000e-01	2.000000e-03	2.000000e-03
3.500000e-01	4.000000e-01	8.770000e-02	2.400000e-03	2.400000e-03
4.000000e-01	4.500000e-01	7.340000e-02	2.600000e-03	2.600000e-03
4.500000e-01	5.000000e-01	6.170000e-02	6.300000e-03	6.300000e-03
5.000000e-01	5.500000e-01	4.870000e-02	5.000000e-03	5.000000e-03
5.500000e-01	6.000000e-01	4.110000e-02	4.200000e-03	4.200000e-03
6.000000e-01	6.500000e-01	3.700000e-02	2.800000e-03	2.800000e-03
6.500000e-01	7.000000e-01	2.860000e-02	2.200000e-03	2.200000e-03
7.000000e-01	7.500000e-01	2.420000e-02	2.700000e-03	2.700000e-03
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y03
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y03
ScaledBy=1.11416073835652860e-06
Title=PY_Miro
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.212244e-01	2.865526e-03	2.865526e-03
2.500000e-01	3.000000e-01	1.076643e-01	2.432537e-03	2.432537e-03
3.000000e-01	3.500000e-01	9.814844e-02	2.140778e-03	2.140778e-03
3.500000e-01	4.000000e-01	7.963866e-02	1.795036e-03	1.795036e-03
4.000000e-01	4.500000e-01	7.101170e-02	1.593935e-03	1.593935e-03
4.500000e-01	5.000000e-01	5.680294e-02	1.349250e-03	1.349250e-03
5.000000e-01	5.500000e-01	4.921844e-02	1.192334e-03	1.192334e-03
5.500000e-01	6.000000e-01	3.928974e-02	1.018355e-03	1.018355e-03
6.000000e-01	6.500000e-01	3.168166e-02	8.811082e-04	8.811082e-04
6.500000e-01	7.000000e-01	2.392654e-02	7.336533e-04	7.336533e-04
7.000000e-01	7.500000e-01	2.020228e-02	6.483934e-04	6.483934e-04
# END HISTO1D

