# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y04 //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y04
DrawOnly=/STAR_2008_S7869363/d02-x01-y04 //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y04
Title=$K^+\quad p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y04
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y04
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y04
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.520000e-01	1.100000e-02	1.100000e-02
2.500000e-01	3.000000e-01	1.300000e-01	5.000000e-03	5.000000e-03
3.000000e-01	3.500000e-01	1.080000e-01	2.000000e-03	2.000000e-03
3.500000e-01	4.000000e-01	9.160000e-02	2.500000e-03	2.500000e-03
4.000000e-01	4.500000e-01	7.470000e-02	2.700000e-03	2.700000e-03
4.500000e-01	5.000000e-01	6.260000e-02	6.400000e-03	6.400000e-03
5.000000e-01	5.500000e-01	5.260000e-02	5.400000e-03	5.400000e-03
5.500000e-01	6.000000e-01	4.410000e-02	4.500000e-03	4.500000e-03
6.000000e-01	6.500000e-01	3.810000e-02	2.800000e-03	2.800000e-03
6.500000e-01	7.000000e-01	3.060000e-02	2.400000e-03	2.400000e-03
7.000000e-01	7.500000e-01	2.490000e-02	2.800000e-03	2.800000e-03
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y04
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y04
ScaledBy=1.12009789589694793e-06
Title=PY_Miro
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	1.241027e-01	2.904795e-03	2.904795e-03
2.500000e-01	3.000000e-01	1.119644e-01	2.491880e-03	2.491880e-03
3.000000e-01	3.500000e-01	9.828344e-02	2.138301e-03	2.138301e-03
3.500000e-01	4.000000e-01	8.798442e-02	1.892202e-03	1.892202e-03
4.000000e-01	4.500000e-01	7.409308e-02	1.632765e-03	1.632765e-03
4.500000e-01	5.000000e-01	5.958356e-02	1.382298e-03	1.382298e-03
5.000000e-01	5.500000e-01	4.915120e-02	1.190461e-03	1.190461e-03
5.500000e-01	6.000000e-01	4.031578e-02	1.032960e-03	1.032960e-03
6.000000e-01	6.500000e-01	3.298508e-02	8.989378e-04	8.989378e-04
6.500000e-01	7.000000e-01	2.545458e-02	7.594174e-04	7.594174e-04
7.000000e-01	7.500000e-01	2.075570e-02	6.634353e-04	6.634353e-04
# END HISTO1D

