# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y05 //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y05
DrawOnly=/STAR_2008_S7869363/d02-x01-y05 //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y05
Title=Antiproton $p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y05
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y05
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y05
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.500000e-01	4.000000e-01	5.540000e-02	1.300000e-03	1.300000e-03
4.000000e-01	4.500000e-01	4.810000e-02	1.100000e-03	1.100000e-03
4.500000e-01	5.000000e-01	4.250000e-02	1.000000e-03	1.000000e-03
5.000000e-01	5.500000e-01	3.770000e-02	9.000000e-04	9.000000e-04
5.500000e-01	6.000000e-01	3.380000e-02	8.000000e-04	8.000000e-04
6.000000e-01	6.500000e-01	2.780000e-02	7.000000e-04	7.000000e-04
6.500000e-01	7.000000e-01	2.490000e-02	6.000000e-04	6.000000e-04
7.000000e-01	7.500000e-01	2.030000e-02	6.000000e-04	6.000000e-04
7.500000e-01	8.000000e-01	1.750000e-02	6.000000e-04	6.000000e-04
8.000000e-01	8.500000e-01	1.520000e-02	5.000000e-04	5.000000e-04
8.500000e-01	9.000000e-01	1.270000e-02	4.000000e-04	4.000000e-04
9.000000e-01	9.500000e-01	1.050000e-02	4.000000e-04	4.000000e-04
9.500000e-01	1.000000e+00	8.950000e-03	3.400000e-04	3.400000e-04
1.000000e+00	1.050000e+00	7.360000e-03	3.400000e-04	3.400000e-04
1.050000e+00	1.100000e+00	6.590000e-03	3.200000e-04	3.200000e-04
1.100000e+00	1.150000e+00	5.210000e-03	2.900000e-04	2.900000e-04
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y05
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y05
ScaledBy=1.08862691395361378e-06
Title=PY_Miro
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
3.500000e-01	4.000000e-01	3.804490e-02	1.217052e-03	1.217052e-03
4.000000e-01	4.500000e-01	3.195370e-02	1.050348e-03	1.050348e-03
4.500000e-01	5.000000e-01	2.971662e-02	9.579424e-04	9.579424e-04
5.000000e-01	5.500000e-01	2.327278e-02	8.098336e-04	8.098336e-04
5.500000e-01	6.000000e-01	2.083078e-02	7.298529e-04	7.298529e-04
6.000000e-01	6.500000e-01	1.771960e-02	6.467797e-04	6.467797e-04
6.500000e-01	7.000000e-01	1.383088e-02	5.509360e-04	5.509360e-04
7.000000e-01	7.500000e-01	1.128100e-02	4.800226e-04	4.800226e-04
7.500000e-01	8.000000e-01	9.062760e-03	4.160364e-04	4.160364e-04
8.000000e-01	8.500000e-01	7.469336e-03	3.667590e-04	3.667590e-04
8.500000e-01	9.000000e-01	5.904540e-03	3.197085e-04	3.197085e-04
9.000000e-01	9.500000e-01	5.253960e-03	2.909654e-04	2.909654e-04
9.500000e-01	1.000000e+00	3.909806e-03	2.463863e-04	2.463863e-04
1.000000e+00	1.050000e+00	3.503092e-03	2.281057e-04	2.281057e-04
1.050000e+00	1.100000e+00	2.358022e-03	1.840401e-04	1.840401e-04
1.100000e+00	1.150000e+00	2.412894e-03	1.804049e-04	1.804049e-04
# END HISTO1D

