# BEGIN PLOT
LegendOnly=/STAR_2008_S7869363/d02-x01-y06 //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y06
DrawOnly=/STAR_2008_S7869363/d02-x01-y06 //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y06
Title=Proton $p_\perp$ spectrum
RatioPlotReference=/STAR_2008_S7869363/d02-x01-y06
RatioPlot=1
LogY=1
XLabel=$p_\perp$ [\unit{GeV}]
YLabel=$\frac{1}{2\pi} \frac{\text{d}^2N}{p_\perp \text{d}p_\perp \text{d}y} [\text{GeV}^{-2}]$
Legend=1
# END PLOT

# BEGIN HISTO1D /STAR_2008_S7869363/d02-x01-y06
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2008_S7869363/d02-x01-y06
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.500000e-01	5.000000e-01	5.070000e-02	2.500000e-03	2.500000e-03
5.000000e-01	5.500000e-01	4.690000e-02	1.900000e-03	1.900000e-03
5.500000e-01	6.000000e-01	4.080000e-02	1.400000e-03	1.400000e-03
6.000000e-01	6.500000e-01	3.420000e-02	1.000000e-03	1.000000e-03
6.500000e-01	7.000000e-01	2.870000e-02	7.000000e-04	7.000000e-04
7.000000e-01	7.500000e-01	2.410000e-02	7.000000e-04	7.000000e-04
7.500000e-01	8.000000e-01	2.130000e-02	6.000000e-04	6.000000e-04
8.000000e-01	8.500000e-01	1.820000e-02	5.000000e-04	5.000000e-04
8.500000e-01	9.000000e-01	1.540000e-02	5.000000e-04	5.000000e-04
9.000000e-01	9.500000e-01	1.310000e-02	4.000000e-04	4.000000e-04
9.500000e-01	1.000000e+00	1.110000e-02	4.000000e-04	4.000000e-04
1.000000e+00	1.050000e+00	9.780000e-03	4.000000e-04	4.000000e-04
1.050000e+00	1.100000e+00	8.560000e-03	3.700000e-04	3.700000e-04
1.100000e+00	1.150000e+00	7.380000e-03	3.800000e-04	3.800000e-04
# END HISTO1D


# BEGIN HISTO1D //home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y06
LineColor=red
LineStyle=solid
Path=//home/ceskajak/Benchmark/rivet200/PYTHIA_Miro/PY_Miro.yoda/STAR_2008_S7869363/d02-x01-y06
ScaledBy=8.17340563107083033e-07
Title=PY_Miro
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
4.500000e-01	5.000000e-01	2.508314e-02	7.635098e-04	7.635098e-04
5.000000e-01	5.500000e-01	2.049974e-02	6.586432e-04	6.586432e-04
5.500000e-01	6.000000e-01	1.786308e-02	5.872097e-04	5.872097e-04
6.000000e-01	6.500000e-01	1.529892e-02	5.239584e-04	5.239584e-04
6.500000e-01	7.000000e-01	1.295433e-02	4.633537e-04	4.633537e-04
7.000000e-01	7.500000e-01	1.010456e-02	3.943863e-04	3.943863e-04
7.500000e-01	8.000000e-01	8.232326e-03	3.451086e-04	3.451086e-04
8.000000e-01	8.500000e-01	6.384228e-03	2.948134e-04	2.948134e-04
8.500000e-01	9.000000e-01	5.275398e-03	2.609586e-04	2.609586e-04
9.000000e-01	9.500000e-01	4.340252e-03	2.313806e-04	2.313806e-04
9.500000e-01	1.000000e+00	3.690912e-03	2.058880e-04	2.058880e-04
1.000000e+00	1.050000e+00	2.918592e-03	1.787448e-04	1.787448e-04
1.050000e+00	1.100000e+00	2.807816e-03	1.726950e-04	1.726950e-04
1.100000e+00	1.150000e+00	2.159336e-03	1.485899e-04	1.485899e-04
# END HISTO1D

